Datetime	Close	Volume	AAPL-count	AAPL-followers	AAPL-followers happy	AAPL-followers sad	AAPL-happy	AAPL-sad
2013-12-13 17:53:00+00:00	555,068	11380	3	39,915	-0,001	34,542	0	2
2013-12-13 17:54:00+00:00	555,08	14143	2	9,137	-0,001	9,15	0	2
2013-12-13 17:55:00+00:00	555,325	15660	2	12,989	-0,001	0,002	0	0
2013-12-13 17:56:00+00:00	555,32	7687	2	47,466	-0,001	32,85	0	1
2013-12-13 17:57:00+00:00	555,25	9484	5	93,632	80,954	12,69	3	1
2013-12-13 17:58:00+00:00	555,37	3772	7	129,84	15,798	14,63	2	1
2013-12-13 17:59:00+00:00	555,32	7613	3	35,442	19,722	0,001	1	0
2013-12-13 18:00:00+00:00	555,25	10773	1	14,922	14,932	0,001	1	0
2013-12-13 18:01:00+00:00	555,329	4317	1	55,216	-0,001	55,228	0	1
2013-12-13 18:02:00+00:00	555,47	6106	1	31,469	31,479	0,001	1	0
2013-12-13 18:03:00+00:00	555,582	21766	3	105,861	11,179	0,001	1	0
2013-12-13 18:04:00+00:00	555,76	13387	4	144,529	68,624	75,916	2	2
2013-12-13 18:05:00+00:00	555,69	11663	3	306,168	-0,002	0,001	0	0
2013-12-13 18:06:00+00:00	555,829	8494	3	13,992	-0,002	0,001	0	0
2013-12-13 18:07:00+00:00	555,8	8805	3	9,538	-0,002	1,001	0	1
2013-12-13 18:08:00+00:00	555,76	15121	1	8,82	-0,002	0,001	0	0
2013-12-13 18:09:00+00:00	555,6	11025	4	107,937	7,481	0,001	1	0
2013-12-13 18:10:00+00:00	555,4	14815	3	63,155	7,744	47,938	1	1
2013-12-13 18:11:00+00:00	555,61	8517	1	8,591	-0,002	0,001	0	0
2013-12-13 18:12:00+00:00	555,43	6502	0	-0,011	-0,002	0,001	0	0
2013-12-13 18:13:00+00:00	555,62	7052	3	155,987	88,874	67,123	1	2
2013-12-13 18:14:00+00:00	555,5	5992	3	59,619	10,486	28,001	1	1
2013-12-13 18:15:00+00:00	555,52	4927	3	103,884	53,719	0,001	1	0
2013-12-13 18:16:00+00:00	555,65	8672	1	12,318	-0,003	12,33	0	1
2013-12-13 18:17:00+00:00	555,729	8425	3	49,088	15,228	33,869	2	1
2013-12-13 18:18:00+00:00	555,61	11817	4	54,085	-0,003	11,436	0	2
2013-12-13 18:19:00+00:00	555,92	9121	2	44,191	44,198	0,002	2	0
